Sparda 2. Liga Pro Frauen Saison 2025/26,,,,,,,,,,,,,,,,,,,
"Ticketing-, Website- und Social-Media-Recherche",,,,,,,,,,,,,,,,,,,
Stand: Juni 2026,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mannschaften,Webseite,Ticketinfos verfügbar,Link zur Ticketseite,Ticketshop,Preise,Saisonkarte,Facebook,FB Follower,Instagram Link auf der Webseite,,IG Follower,Newsletter ja/nein,Weitere,YouTube,YT Abonnenten ,Fanshop,WhatsApp,WA Follower,Spieltagshefte online
BayerVolleys Leverkusen,https://www.bayer-volleyball-bundesliga.de/,ja,https://www.bayer-volleyball-bundesliga.de/tickets.html,https://events.vereinsticket.de/tsvbayer04,"Eintrittspreis: 9,- Euro
Ermäßigt: 6,- Euro
Tages-VIP: 30,- Euro","Preis: 90,- Euro
Saison-VIP: 290,- Euro","https://www.facebook.com/TSVBayer04.Volleyball/
","2538
(Stand: 30.05.2026)",https://www.instagram.com/tsvbayer04leverkusenvolleyball/,https://www.instagram.com/bayervolleysleverkusen/,"2697
(Stand: 30.05.2026)",nein,,,,,,,
DSHS SnowTrex Köln,https://www.dshs-snowtrex-koeln.de/,ja,https://www.dshs-snowtrex-koeln.de/tickets-kaufen/,https://dshs-snowtrex-koeln.ticket.io/,"Erwachsene: 8 €
Ermäßigt: 4 €","Preis im Ticketshop
derzeit nicht verfügbar",https://www.facebook.com/volleyballdshssnowtrexkoeln,"2049
(Stand: 30.05.2026)",https://www.instagram.com/p/DILVBfSslQn/,https://www.instagram.com/dshs_snowtrex_koeln/,"2151
(Stand: 30.05.2026)",ja,"Fotos/Flickr
https://www.flickr.com/photos/88608964@N07/collections/ 
",https://www.youtube.com/user/DSHSSnowTrexKoeln,38,,,,https://www.snowtrex.com/data/dshs/spieltag.pdf
ESA Grimma Volleys,https://www.vv-grimma.de/v4/?site=team&gender=damen&tid=361,ja,https://www.vv-grimma.de/v4/?site=ticketing&gender=&tid=361,https://www.vv-grimma.de/v4/?site=tickets&gender=&tid=361,"Vollzahler: Abendkasse 12 €,
VVK bis 48h vor Spielbeginn online 10 €
Ermäßigt: Abendkasse 10 €
VVK bis 48h vor Spielbeginn online 9 €
Mitglieder: Abendkasse 4 €
Bis 12 Jahre freier Eintritt","Vollzahler: 120 €
Ermäßigt: 108 €",https://www.facebook.com/esagrimmavolleys/?locale=de_DE,"2322
(Stand: 30.05.2026)",---,https://www.instagram.com/esagrimmavolleys/,"3036
(Stand: 30.05.2026)",nein,,,,,,,
Eintracht Spontent Düsseldorf,https://eintracht-spontent.de/team-damen-1,nein,?,?,"Mehrfachspieltag 12 €
Herren 1: 8 €
Damen 1: 10 €
Studenten/Azubis: 5 €
Schüler: 4 €
Infos vom FB-Post
https://www.facebook.com/photo/?fbid=787659487477746&set=pb.100087011045382.-2207520000",?,"Kein spezifischer Kanal für die Frauen/Sammelaccount
Letzter Post Oktober 2025
https://www.facebook.com/p/Eintracht-Spontent-100087011045382/ ","113
(Stand: 30.05.2026)",---,https://www.instagram.com/eintrachtspontentdamen/,"4471
(Stand: 30.05.2026)",nein,,,,"Sammelaccount für den Gesamtverein
https://www.weplayvolleyball.de/spontent ",,,
NawaRo Straubing,https://www.nawaro-straubing.de/,"nein
Steht vermutlich nur
auf der Shopseite
die ist natürlich jetzt leer","Link im Footer - 404 (Ressource nicht verfügbar)
https://www.nawaro-straubing.de/?page_id=6684 ",https://nawaro-volleyball-fb0c.vivenushop.com/  ,?,?,https://www.facebook.com/nawarostraubing,"4407
(Stand: 30.05.2026)",https://www.instagram.com/nawaro_straubing/,,"4115
(Stand: 30.05.2026)","ja
mehrere u.a. 
Partner-Newsletter",,,,https://shop.vitvasports.de/NawaRo-Straubing,,,
Neuseenland-Volleys Markkleeberg,https://neuseenland-volleys.de/,"nein
Steht vermutlich nur
auf der Shopseite
die ist natürlich jetzt leer",Direkter Link zum Ticketshop,https://events.vereinsticket.de/tsg1903/vt-nvm,"Info nachgereicht:

Abendkasse 10€, Kinder 3€ und Vereinsmitglieder 7€

VVK 8€ (bis 24h vorher), Rest bleibt so",?,https://www.facebook.com/tsgneuseenlandvolleys/,"741
(Stand: 30.05.2026)",https://www.instagram.com/neuseenlandvolleysdamen/,,"2242
(Stand: 30.05.2026)",nein,,,,https://www.indoortrends.de/vereinsheim/neuseenlandvolleys-markkleeberg/,https://www.whatsapp.com/channel/0029Vajty07GOj9p7rg2my3j,"375
(Stand: 30.05.2026)",
Sparkassen Wildcats Stralsund ,https://www.vc-stralsund.de/wildcats/,"nein
Steht vermutlich nur
auf der Shopseite
die ist natürlich jetzt leer",https://www.vc-stralsund.de/wildcats/tickets/,Ticketshop eingebettet in die Webseite,?,?,https://www.facebook.com/1.VCStralsund/,"2456
(Stand: 30.05.2026)",https://www.instagram.com/sparkassen.wildcats.stralsund/,,"2697
(Stand: 30.05.2026)",nein,,,,https://shop.stralsunder-wildcats.de/,https://www.whatsapp.com/channel/0029VbBBsf423n3lmmC0UH13,"190
(Stand: 30.05.2026)",https://www.vc-stralsund.de/wildcats/spieltagshefte/
TV Planegg-Krailling,https://www.volleyball-planegg.de/,nein,?,?,?,?,https://www.facebook.com/volleyballplanegg,"889
(Stand: 30.05.2026)",,https://www.instagram.com/planeggkraillingvolleyball/,"2159
(Stand: 30.05.2026)",nein,,,,,,,
TV Waldgirmes,https://tv-waldgirmes.de/volleyball/damen-1/,nein,?,?,?,?,https://www.facebook.com/waldgirmesdamen1/?locale=de_DE,"846
(Stand: 30.05.2026)",,https://www.instagram.com/tvw_damen1/,"2542
(Stand: 30.05.2026)",nein,,,,,,,
VCO Dresden,https://www.vc-olympia-dresden.de/,nein,?,?,?,?,https://www.facebook.com/vcodresden/?locale=de_DE,"1734
(Stand: 30.05.2026)",https://www.instagram.com/vcodresden/,,"3791
(Stand: 30.05.2026)",nein,,,,https://vcodresden.teambro.de/3494-merch,,,
